,Tour_ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category,total_people,total_nights,trip_length,group_size
2088,tour_idu0tsfqe6,AUSTRALIA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,6,4,Yes,Normal Cost,2.0,10,Normal,small
2089,tour_idh2ndahlm,UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,1.0,3.0,Business,Wildlife Tourism,Trade fair,Independent,No,No,No,No,No,No,No,21,0,No,Higher Cost,4.0,21,extended,small
2090,tour_idmhx8j020,INDIA,45-64,With Other Friends/Relatives,0.0,3.0,Business,Wildlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost,3.0,2,Normal,small
2091,tour_idm8ri1u90,GERMANY,45-64,Alone,1.0,0.0,Meetings and Conference,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,0,No,Normal Cost,1.0,6,Normal,small
2092,tour_idj92j6ilc,ITALY,45-64,With Other Friends/Relatives,2.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,7,14,No,Normal Cost,2.0,21,extended,small
2093,tour_id6gso5rmx,AUSTRALIA,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,3,0,Yes,Higher Cost,1.0,3,Normal,small
2094,tour_idconob9zv,BELGIUM,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,5,Yes,Higher Cost,2.0,5,Normal,small
2095,tour_idf1lbthqj,AUSTRALIA,25-44,With Other Friends/Relatives,3.0,0.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,13,3,Yes,Higher Cost,3.0,16,extended,small
2096,tour_idizvr2dwh,AUSTRALIA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,No,No,0,7,Yes,High Cost,2.0,7,Normal,small
2097,tour_idro9ducby,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Business,Widlife Tourism,Others,Independent,No,No,No,No,No,No,No,8,0,No,High Cost,1.0,8,Normal,small
2098,tour_idph7gr4rd,ZAMBIA,25-44,Alone,0.0,1.0,Business,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,0,No,Lower Cost,1.0,2,Normal,small
2099,tour_id4x4o100m,ZAMBIA,25-44,Alone,0.0,1.0,Business,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,5,0,No,Lower Cost,1.0,5,Normal,small
2100,tour_id7pwislmk,BURUNDI,45-64,Alone,0.0,1.0,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,No,Normal Cost,1.0,14,Normal,small
2101,tour_id6i5grfmi,UNITED KINGDOM,25-44,Alone,1.0,0.0,Other,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,9,0,Yes,Normal Cost,1.0,9,Normal,small
2102,tour_idd0x6hhpz,MALAYSIA,45-64,With Other Friends/Relatives,5.0,2.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,Yes,5,0,Yes,High Cost,7.0,5,Normal,big
2103,tour_idodbk5xjk,UNITED KINGDOM,25-44,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,Yes,Lower Cost,1.0,14,Normal,small
2104,tour_id67sguwka,CANADA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost,2.0,7,Normal,small
2105,tour_idurdjvp8y,UNITED STATES OF AMERICA,25-44,,0.0,1.0,Meetings and Conference,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost,1.0,2,Normal,small
2106,tour_idb03a2eri,DENMARK,65+,With Other Friends/Relatives,3.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,6,6,Yes,Higher Cost,4.0,12,Normal,small
2107,tour_id38166c2f,UNITED KINGDOM,<18,Alone,1.0,0.0,Visiting Friends and Relatives,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,7,0,No,Lower Cost,1.0,7,Normal,small
2108,tour_id4e6vishq,SOUTH AFRICA,65+,,0.0,1.0,Business,Mountain Climbing,Others,Independent,No,No,No,No,No,No,No,4,0,No,Low Cost,1.0,4,Normal,small
2109,tour_idhqe9oloa,ITALY,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,0,7,Yes,High Cost,2.0,7,Normal,small
2110,tour_idpf3harfn,BELGIUM,18-24,Alone,1.0,0.0,Leisure and Holidays,Hunting Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10,0,Yes,Low Cost,1.0,10,Normal,small
2111,tour_id2o2wvyb2,NEW ZEALAND,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,No,No,No,Yes,No,No,3,0,Yes,Normal Cost,2.0,3,Normal,small
2112,tour_id8csdjqng,SOUTH AFRICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,No,Yes,Yes,No,Yes,Yes,10,0,Yes,Highest Cost,1.0,10,Normal,small
2113,tour_id5xpqsxqn,ZAMBIA,25-44,Alone,0.0,1.0,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost,1.0,4,Normal,small
2114,tour_idccwfi6t5,CANADA,45-64,,0.0,1.0,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,No,No,Yes,No,7,0,Yes,Higher Cost,1.0,7,Normal,small
2115,tour_idmc4l9tzd,UNITED KINGDOM,25-44,Alone,0.0,1.0,Business,Hunting Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost,1.0,3,Normal,small
2116,tour_idr2te4a5u,INDIA,18-24,Alone,0.0,1.0,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,Yes,Low Cost,1.0,4,Normal,small
2117,tour_ids49hlgd5,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Business,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,2,4,No,Normal Cost,1.0,6,Normal,small
2118,tour_ides190sip,JAPAN,65+,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,9,0,Yes,Normal Cost,1.0,9,Normal,small
2119,tour_ide0emzcfm,FRANCE,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,Yes,0,14,Yes,High Cost,2.0,14,Normal,small
2120,tour_iderfol86x,UNITED KINGDOM,25-44,With Children,2.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,No,High Cost,3.0,21,extended,small
2121,tour_id9sjk54ao,UNITED KINGDOM,65+,With Other Friends/Relatives,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,10,5,Yes,Higher Cost,2.0,15,extended,small
2122,tour_id74ldlcc1,SOUTH AFRICA,25-44,With Other Friends/Relatives,0.0,2.0,Business,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost,2.0,2,Normal,small
2123,tour_id0hp6e2lw,INDIA,45-64,With Other Friends/Relatives,2.0,2.0,Leisure and Holidays,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Low Cost,4.0,5,Normal,small
2124,tour_idw2s337xg,UNITED KINGDOM,18-24,With Other Friends/Relatives,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,11,4,Yes,Higher Cost,2.0,15,extended,small
2125,tour_idwjwr64dh,NEW ZEALAND,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost,2.0,7,Normal,small
2126,tour_idtkg67rtg,SPAIN,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,8,4,Yes,Higher Cost,2.0,12,Normal,small
2127,tour_id0lfuutni,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,4,No,Normal Cost,1.0,11,Normal,small
2128,tour_idf838nklx,ITALY,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,4,16,Yes,Normal Cost,1.0,20,extended,small
2129,tour_idn7ge5ojh,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,0,Yes,Higher Cost,2.0,16,extended,small
2130,tour_idmh4592b2,NETHERLANDS,25-44,Alone,1.0,0.0,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,0,Yes,High Cost,1.0,15,extended,small
2131,tour_idwq8rvmob,AUSTRALIA,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,17,7,Yes,Normal Cost,2.0,24,extended,small
2132,tour_idbtiyniyi,ITALY,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,0,7,Yes,High Cost,2.0,7,Normal,small
2133,tour_idsg0oj3id,AUSTRALIA,25-44,With Other Friends/Relatives,2.0,0.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,20,0,Yes,Higher Cost,2.0,20,extended,small
2134,tour_idmg29wq7q,AUSTRALIA,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Higher Cost,1.0,5,Normal,small
2135,tour_id6q9x75xw,CANADA,45-64,Alone,0.0,1.0,Volunteering,Cultural Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,0,No,Normal Cost,1.0,5,Normal,small
2136,tour_id9xb2cpds,NETHERLANDS,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,6,Yes,Normal Cost,2.0,7,Normal,small
2137,tour_idy7b5hspv,GERMANY,45-64,With Other Friends/Relatives,3.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6,Yes,Higher Cost,4.0,12,Normal,small
2138,tour_id1lkkhczv,CANADA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,7,Yes,Higher Cost,2.0,14,Normal,small
2139,tour_idx622uu96,ITALY,25-44,With Spouse and Children,1.0,2.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,7,Yes,Higher Cost,3.0,7,Normal,small
2140,tour_id86d3nd0q,GERMANY,25-44,With Children,4.0,1.0,Visiting Friends and Relatives,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,30,0,No,Normal Cost,5.0,30,extended,small
2141,tour_id4s01mwu1,UNITED KINGDOM,45-64,,1.0,0.0,Meetings and Conference,Beach Tourism,Others,Independent,No,No,No,No,No,No,No,1,0,No,Low Cost,1.0,1,Normal,small
2142,tour_id8rodulq7,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,High Cost,1.0,4,Normal,small
2143,tour_id7z8ycemo,ITALY,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,7,Yes,High Cost,2.0,7,Normal,small
2144,tour_iduq39zf34,UNITED KINGDOM,25-44,With Spouse and Children,2.0,1.0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,23,0,No,Lower Cost,3.0,23,extended,small
2145,tour_idx25iut2b,FRANCE,25-44,With Children,3.0,1.0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,0,No,High Cost,4.0,13,Normal,small
2146,tour_id4y1qmb0o,CHINA,25-44,Alone,0.0,1.0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,Yes,Normal Cost,1.0,7,Normal,small
2147,tour_idz9cfi0v9,DENMARK,18-24,Alone,1.0,0.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,90,No,Normal Cost,1.0,90,staycation,small
2148,tour_idg0ivnwbt,ITALY,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,7,No,High Cost,2.0,7,Normal,small
2149,tour_idum4armub,KENYA,25-44,Alone,1.0,0.0,Meetings and Conference,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,4,No,Lower Cost,1.0,4,Normal,small
2150,tour_idogam2th0,SOUTH AFRICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,4,0,Yes,Low Cost,1.0,4,Normal,small
2151,tour_idulcw4wql,UNITED KINGDOM,25-44,Alone,1.0,0.0,Meetings and Conference,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,0,Yes,Lower Cost,1.0,9,Normal,small
2152,tour_idgurhucrk,ITALY,45-64,With Spouse,1.0,1.0,Other,Bird Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,0,Yes,Higher Cost,2.0,2,Normal,small
2153,tour_idtp19gcus,ITALY,25-44,With Spouse and Children,1.0,2.0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,Higher Cost,3.0,7,Normal,small
2154,tour_idns5bwusq,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost,1.0,3,Normal,small
2155,tour_idtttlx50k,THAILAND,25-44,Alone,0.0,1.0,Meetings and Conference,Conference Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,4,0,No,Low Cost,1.0,4,Normal,small
2156,tour_id0lz6lhbe,UNITED STATES OF AMERICA,65+,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,0,No,Higher Cost,1.0,5,Normal,small
2157,tour_id052aun3l,INDIA,18-24,Alone,0.0,1.0,Business,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,288,0,Yes,Higher Cost,1.0,288,staycation,small
2158,tour_idmc9tigbo,UNITED KINGDOM,25-44,With Children,1.0,2.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,45,0,No,Normal Cost,3.0,45,longer,small
2159,tour_idpgtmev80,ZAMBIA,25-44,Alone,1.0,0.0,Business,Wildlife Tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,7,0,No,Normal Cost,1.0,7,Normal,small
2160,tour_idqauagle2,INDIA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,Yes,No,No,No,No,No,No,5,0,Yes,Normal Cost,2.0,5,Normal,small
2161,tour_iddiwk8moz,UNITED KINGDOM,45-64,Alone,0.0,1.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,No,Lower Cost,1.0,1,Normal,small
2162,tour_id50f08gqc,SWIZERLAND,25-44,With Other Friends/Relatives,2.0,0.0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,5,No,Higher Cost,2.0,14,Normal,small
2163,tour_idw1uuiddk,SPAIN,18-24,With Spouse,1.0,1.0,Leisure and Holidays,Conference Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,High Cost,2.0,9,Normal,small
2164,tour_idkfnjqdbb,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,4,Yes,Low Cost,1.0,7,Normal,small
2165,tour_idoekfc9sc,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,Higher Cost,2.0,4,Normal,small
2166,tour_ido76ykdqd,GERMANY,18-24,With Other Friends/Relatives,2.0,2.0,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,5,Yes,Higher Cost,4.0,12,Normal,small
2167,tour_idn1fccpib,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,0,Yes,Higher Cost,2.0,12,Normal,small
2168,tour_idryebixdi,UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,1.0,2.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,0,No,Low Cost,3.0,7,Normal,small
2169,tour_id6wismgia,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,11,0,Yes,Lower Cost,1.0,11,Normal,small
2170,tour_idqpe19paf,ITALY,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,14,Yes,Higher Cost,2.0,14,Normal,small
2171,tour_id8xykfkyf,ZIMBABWE,25-44,Alone,0.0,1.0,Business,Cultural Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost,1.0,3,Normal,small
2172,tour_idmlciqb8y,SPAIN,45-64,Alone,0.0,1.0,Leisure and Holidays,Wildlife Tourism,"Radio, TV, Web",Package Tour,No,Yes,No,Yes,Yes,Yes,No,7,3,Yes,Lower Cost,1.0,10,Normal,small
2173,tour_idnae9os24,MORROCO,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,5,Yes,Normal Cost,2.0,10,Normal,small
2174,tour_id1kcictxh,SINGAPORE,25-44,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,8,0,Yes,High Cost,1.0,8,Normal,small
2175,tour_idbaakgkpv,ZAMBIA,25-44,Alone,0.0,1.0,Business,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,0,No,Normal Cost,1.0,12,Normal,small
2176,tour_idv4mwawxw,NETHERLANDS,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,4,Yes,Higher Cost,2.0,9,Normal,small
2177,tour_idt8nemlbf,AUSTRIA,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,No,Yes,No,Yes,No,4,3,Yes,Normal Cost,1.0,7,Normal,small
2178,tour_idqdsectuk,ZIMBABWE,25-44,With Other Friends/Relatives,0.0,2.0,Business,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Normal Cost,2.0,3,Normal,small
2179,tour_id90oy9zhu,UNITED STATES OF AMERICA,45-64,Alone,0.0,1.0,Scientific and Academic,Cultural Tourism,Others,Independent,No,No,No,No,No,No,No,11,0,No,Normal Cost,1.0,11,Normal,small
2180,tour_id6b0a4pxd,UNITED KINGDOM,25-44,Alone,1.0,0.0,Scientific and Academic,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,16,0,No,Low Cost,1.0,16,extended,small
2181,tour_idtnkaaltd,UNITED KINGDOM,45-64,With Children,0.0,2.0,Leisure and Holidays,Conference Tourism,Others,Package Tour,Yes,Yes,Yes,No,Yes,No,Yes,13,0,No,Higher Cost,2.0,13,Normal,small
2182,tour_id4w6zeoau,SOUTH AFRICA,45-64,Alone,0.0,1.0,Business,Widlife Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,6,0,No,High Cost,1.0,6,Normal,small
2183,tour_idiozcpnzl,KENYA,25-44,Alone,0.0,1.0,Meetings and Conference,Hunting Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,0,No,Lower Cost,1.0,2,Normal,small
2184,tour_idxlyz6u3u,AUSTRALIA,25-44,Alone,0.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,11,0,Yes,High Cost,1.0,11,Normal,small
2185,tour_idw5wnxsj7,MEXICO,25-44,With Other Friends/Relatives,2.0,2.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,3,Yes,High Cost,4.0,5,Normal,small
2186,tour_id8qfkpyt9,UGANDA,25-44,Alone,0.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,8,0,Yes,Lower Cost,1.0,8,Normal,small
2187,tour_idaq0t8onn,UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,1.0,1.0,Visiting Friends and Relatives,Cultural Tourism,Others,Independent,No,No,No,No,No,No,No,2,1,No,Lower Cost,2.0,3,Normal,small
2188,tour_id5xnd4b7m,GERMANY,18-24,Alone,0.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,10,0,Yes,High Cost,1.0,10,Normal,small
2189,tour_idkhjqivm3,RWANDA,18-24,,0.0,1.0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,0,Yes,Lower Cost,1.0,13,Normal,small
2190,tour_idnili8m4m,DRC,25-44,Alone,0.0,1.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost,1.0,4,Normal,small
2191,tour_idl4v3k5e9,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,3,No,Higher Cost,2.0,16,extended,small
2192,tour_id7o6h46hl,UGANDA,25-44,With Other Friends/Relatives,2.0,0.0,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,Yes,Low Cost,2.0,4,Normal,small
2193,tour_id7iju5nok,ITALY,45-64,With Children,1.0,1.0,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,7,Yes,High Cost,2.0,7,Normal,small
2194,tour_idvupi3pfv,ZAMBIA,25-44,Alone,0.0,1.0,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Low Cost,1.0,2,Normal,small
2195,tour_id87vz77d2,SWEDEN,45-64,Alone,0.0,1.0,Visiting Friends and Relatives,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,21,0,No,Normal Cost,1.0,21,extended,small
2196,tour_idw3ymkfn7,CONGO,45-64,Alone,0.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Low Cost,1.0,4,Normal,small
2197,tour_id5q0rwtpg,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,16,0,Yes,Normal Cost,1.0,16,extended,small
2198,tour_idyv4ot6kl,SPAIN,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,15,5,Yes,Low Cost,2.0,20,extended,small
2199,tour_idyqi4vcqo,UNITED STATES OF AMERICA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,16,0,Yes,Higher Cost,2.0,16,extended,small
2200,tour_idz9cnvuen,GERMANY,45-64,With Spouse and Children,2.0,2.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,22,No,High Cost,4.0,22,extended,small
2201,tour_idwdvnilqt,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,4,0,No,Normal Cost,1.0,4,Normal,small
2202,tour_idal4eguul,FRANCE,45-64,With Spouse and Children,5.0,3.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,9,4,No,Higher Cost,8.0,13,Normal,big
2203,tour_id5ab22toe,CANADA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,3,Yes,Higher Cost,2.0,9,Normal,small
2204,tour_idtv42486p,UNITED KINGDOM,25-44,With Other Friends/Relatives,1.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,High Cost,2.0,7,Normal,small
